epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13418.1,1.54369,0.78287,1.10554,0.70953,0.68927,0.66289,0.31683,1.9618,1.00835,1.27899,0.000990365,0.000990365,0.000990365
43,13694.8,1.5688,0.81886,1.12011,0.70881,0.62705,0.62272,0.31172,1.89363,1.03588,1.26439,0.000973861,0.000973861,0.000973861
44,13967.8,1.50349,0.78033,1.1015,0.69139,0.69009,0.67329,0.34206,1.90421,1.01223,1.27913,0.000957358,0.000957358,0.000957358
45,14238,1.51645,0.79269,1.09848,0.71328,0.66061,0.66893,0.33672,1.89413,1.00699,1.27313,0.000940855,0.000940855,0.000940855
46,14507.5,1.53579,0.78033,1.09182,0.74013,0.67825,0.6877,0.34144,1.91051,1.02045,1.26616,0.000924352,0.000924352,0.000924352
47,14776.1,1.50866,0.77831,1.11286,0.73586,0.69414,0.67594,0.32801,1.90147,1.03147,1.26792,0.000907848,0.000907848,0.000907848
48,15046.3,1.5142,0.74898,1.09249,0.71738,0.69893,0.67801,0.32601,1.93749,1.04617,1.28249,0.000891345,0.000891345,0.000891345
49,15317.5,1.48315,0.74853,1.08172,0.71167,0.69208,0.69216,0.33584,1.92436,1.02599,1.28145,0.000874842,0.000874842,0.000874842
50,15586.9,1.46778,0.75026,1.08279,0.7433,0.69342,0.68139,0.3461,1.89594,0.99115,1.26648,0.000858338,0.000858338,0.000858338
51,15856.2,1.49522,0.75182,1.07026,0.6781,0.73916,0.70367,0.35201,1.88963,0.96321,1.26412,0.000841835,0.000841835,0.000841835
52,16125.2,1.49241,0.75477,1.08052,0.70081,0.67774,0.674,0.33901,1.88774,1.01257,1.26702,0.000825332,0.000825332,0.000825332
53,16394.9,1.46226,0.75369,1.07022,0.67981,0.70487,0.68778,0.33038,1.88827,1.00881,1.26294,0.000808828,0.000808828,0.000808828
54,16664.7,1.47115,0.74271,1.05904,0.69689,0.7337,0.68922,0.34083,1.90361,1.00628,1.26604,0.000792325,0.000792325,0.000792325
55,16933.1,1.45416,0.76619,1.09079,0.64848,0.73955,0.67662,0.32631,1.89341,1.0326,1.27483,0.000775822,0.000775822,0.000775822
56,17201.6,1.4582,0.73057,1.06408,0.72426,0.69799,0.6662,0.32937,1.8947,1.01012,1.2692,0.000759318,0.000759318,0.000759318
57,17471.5,1.43838,0.73138,1.0684,0.69125,0.70497,0.65769,0.31962,1.91117,0.99076,1.27352,0.000742815,0.000742815,0.000742815
58,17739.6,1.48013,0.74438,1.07986,0.74774,0.68262,0.67651,0.34052,1.90556,1.00784,1.27339,0.000726312,0.000726312,0.000726312
59,18008.1,1.42496,0.71545,1.07763,0.73472,0.71534,0.69708,0.34213,1.87177,0.94646,1.26925,0.000709809,0.000709809,0.000709809
60,18276.3,1.41054,0.7149,1.0513,0.71614,0.71317,0.6846,0.33725,1.8951,0.99959,1.26656,0.000693305,0.000693305,0.000693305
61,18546.1,1.41544,0.726,1.05213,0.70684,0.70344,0.68397,0.33653,1.9076,0.98728,1.2695,0.000676802,0.000676802,0.000676802
62,18815.1,1.40836,0.71039,1.0507,0.71793,0.69744,0.69033,0.33436,1.87667,0.96859,1.26692,0.000660299,0.000660299,0.000660299
63,19083.4,1.39688,0.68956,1.04677,0.70814,0.69681,0.67563,0.33123,1.90631,0.99959,1.27908,0.000643795,0.000643795,0.000643795
64,19351.5,1.41463,0.71878,1.06065,0.72181,0.69541,0.68253,0.32421,1.89873,0.99913,1.27475,0.000627292,0.000627292,0.000627292
65,19620.2,1.38006,0.69941,1.03958,0.70355,0.72805,0.69544,0.32418,1.9217,0.99761,1.28532,0.000610789,0.000610789,0.000610789
66,19888.2,1.35464,0.69077,1.04866,0.66922,0.71713,0.67801,0.33148,1.89562,0.98177,1.29099,0.000594286,0.000594286,0.000594286
67,20156.9,1.39049,0.69288,1.04443,0.68544,0.67472,0.65686,0.32932,1.94297,0.99103,1.29995,0.000577782,0.000577782,0.000577782
68,20425.4,1.38452,0.69418,1.03246,0.71386,0.70564,0.67658,0.32555,1.93912,0.98612,1.2916,0.000561279,0.000561279,0.000561279
69,20696.2,1.33498,0.67354,1.02727,0.69669,0.66505,0.65481,0.32472,1.91452,1.0073,1.28115,0.000544776,0.000544776,0.000544776
70,20968,1.33239,0.68532,1.02308,0.70201,0.68865,0.67108,0.32918,1.90434,1.02351,1.29373,0.000528272,0.000528272,0.000528272
71,21237.5,1.34475,0.66286,1.0297,0.71362,0.69518,0.68508,0.33789,1.90564,0.9877,1.28549,0.000511769,0.000511769,0.000511769
72,21505.7,1.32018,0.66581,1.03543,0.74966,0.67965,0.67534,0.32583,1.91709,0.99545,1.2762,0.000495266,0.000495266,0.000495266
73,21773.9,1.3117,0.64678,1.01565,0.71171,0.69731,0.69183,0.32894,1.91254,0.97643,1.28051,0.000478762,0.000478762,0.000478762
74,22043.1,1.28931,0.65254,1.02044,0.71819,0.67561,0.68146,0.34269,1.90876,0.9995,1.27951,0.000462259,0.000462259,0.000462259
75,22311.1,1.30457,0.66341,1.02151,0.69579,0.74864,0.6932,0.34533,1.89201,0.94948,1.27984,0.000445756,0.000445756,0.000445756
76,22579.8,1.29888,0.65261,1.02667,0.71871,0.71897,0.67218,0.3405,1.9056,1.01025,1.28907,0.000429253,0.000429253,0.000429253
77,22849.8,1.2947,0.64337,1.01346,0.72013,0.69291,0.66653,0.32343,1.91519,1.02197,1.3115,0.000412749,0.000412749,0.000412749
78,23118.9,1.29879,0.64029,1.00769,0.7096,0.71473,0.6702,0.33221,1.91944,0.9937,1.30373,0.000396246,0.000396246,0.000396246
79,23386.9,1.29135,0.627,1.01549,0.7016,0.69354,0.65684,0.33285,1.90791,1.0075,1.29279,0.000379743,0.000379743,0.000379743
80,23655.3,1.26947,0.63289,1.00139,0.71945,0.6931,0.67991,0.34431,1.89444,0.98931,1.2952,0.000363239,0.000363239,0.000363239
81,23925.2,1.27756,0.62907,1.005,0.7294,0.69266,0.67246,0.33289,1.90947,0.98789,1.3047,0.000346736,0.000346736,0.000346736
82,24195,1.27501,0.63509,1.00875,0.71634,0.722,0.6727,0.33192,1.93986,0.99799,1.31176,0.000330233,0.000330233,0.000330233
83,24463.4,1.26436,0.63719,1.00357,0.72369,0.70202,0.66871,0.32672,1.9145,1.02589,1.29943,0.000313729,0.000313729,0.000313729
84,24732.7,1.22291,0.61944,0.99411,0.71717,0.72625,0.67199,0.32835,1.917,1.03061,1.30574,0.000297226,0.000297226,0.000297226
85,25001.9,1.22946,0.62217,0.99665,0.67377,0.73895,0.67449,0.33174,1.9035,1.00615,1.29801,0.000280723,0.000280723,0.000280723
86,25270.3,1.23666,0.60796,0.98614,0.69531,0.72079,0.68349,0.33024,1.91234,1.00556,1.30757,0.00026422,0.00026422,0.00026422
87,25536.7,1.22512,0.61424,0.99335,0.72981,0.70227,0.68943,0.33673,1.93153,1.02352,1.30704,0.000247716,0.000247716,0.000247716
88,25804.1,1.21383,0.60068,0.98969,0.68231,0.71631,0.68231,0.33704,1.91412,1.01605,1.30827,0.000231213,0.000231213,0.000231213
89,26073.1,1.22292,0.60646,0.99124,0.72513,0.67474,0.68235,0.3373,1.92701,1.01322,1.31531,0.00021471,0.00021471,0.00021471
90,26340.4,1.20237,0.59765,0.98294,0.72885,0.68081,0.68344,0.33638,1.92714,1.01238,1.31676,0.000198206,0.000198206,0.000198206
91,26605.7,1.20672,0.58464,0.99632,0.68585,0.72116,0.66959,0.33864,1.94442,0.98963,1.32347,0.000181703,0.000181703,0.000181703
92,26869.3,1.17483,0.5715,0.98114,0.7147,0.69836,0.66804,0.33839,1.92884,1.01801,1.32225,0.0001652,0.0001652,0.0001652
93,27133,1.16331,0.55714,0.98706,0.74133,0.68273,0.67893,0.33365,1.92714,1.02101,1.32621,0.000148696,0.000148696,0.000148696
94,27397,1.15103,0.5541,0.98276,0.68909,0.73364,0.67708,0.33571,1.94051,1.02431,1.31876,0.000132193,0.000132193,0.000132193
95,27661.2,1.13863,0.5528,0.9733,0.70393,0.69533,0.66907,0.33164,1.92845,1.05268,1.31725,0.00011569,0.00011569,0.00011569
96,27925.8,1.15791,0.56368,0.98052,0.72701,0.68643,0.671,0.3353,1.92201,1.04982,1.3157,9.91865e-05,9.91865e-05,9.91865e-05
97,28190.1,1.12571,0.54538,0.97853,0.72745,0.6968,0.67102,0.33494,1.92491,1.04066,1.31638,8.26832e-05,8.26832e-05,8.26832e-05
98,28454.4,1.11862,0.54197,0.96498,0.72744,0.69936,0.67269,0.3327,1.92903,1.04928,1.31905,6.61799e-05,6.61799e-05,6.61799e-05
99,28718.8,1.11306,0.54231,0.96238,0.74462,0.68165,0.66927,0.32823,1.92376,1.05001,1.31916,4.96766e-05,4.96766e-05,4.96766e-05
100,28983.2,1.11448,0.53727,0.97697,0.7282,0.6911,0.66863,0.33053,1.92465,1.04574,1.31664,3.31733e-05,3.31733e-05,3.31733e-05
